 NUMBER, ELEMENT,ELECTRON CONFIGURATION
1,Hydrogen,1s1
2,Helium,1s2
3,Lithium,"1s2, 2s1"
4,Beryllium,"1s2, 2s2"
5,Boron,"1s2, 2s2, 2p1"
6,Carbon,"1s2, 2s2, 2p2"
7,Nitrogen,"1s2, 2s2, 2p3"
8,Oxygen,"1s2, 2s2, 2p4"
9,Fluorine,"1s2, 2s2, 2p5"
10,Neon,"1s2, 2s2, 2p6"
11,Sodium,"1s2, 2s2, 2p6, 3s1"
12,Magnesium,"1s2, 2s2, 2p6, 3s2"
13,Aluminum,"1s2, 2s2, 2p6, 3s2, 3p1"
14,Silicon,"1s2, 2s2, 2p6, 3s2, 3p2"
15,Phosphorus,"1s2, 2s2, 2p6, 3s2, 3p3"
16,Sulfur,"1s2, 2s2, 2p6, 3s2, 3p4"
17,Chlorine,"1s2, 2s2, 2p6, 3s2, 3p5"
18,Argon,"1s2, 2s2, 2p6, 3s2, 3p6"
19,Potassium,"1s2, 2s2, 2p6, 3s2, 3p6, 4s1"
20,Calcium,"1s2, 2s2, 2p6, 3s2, 3p6, 4s2"
21,Scandium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d1, 4s2"
22,Titanium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d2, 4s2"
23,Vanadium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d3, 4s2"
24,Chromium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d5, 4s1"
25,Manganese,"1s2, 2s2, 2p6, 3s2, 3p6, 3d5, 4s2"
26,Iron,"1s2, 2s2, 2p6, 3s2, 3p6, 3d6, 4s2"
27,Cobalt,"1s2, 2s2, 2p6, 3s2, 3p6, 3d7, 4s2"
28,Nickel,"1s2, 2s2, 2p6, 3s2, 3p6, 3d8, 4s2"
29,Copper,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s1"
30,Zinc,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2"
31,Gallium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p1"
32,Germanium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p2"
33,Arsenic,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p3"
34,Selenium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p4"
35,Bromine,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p5"
36,Krypton,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6"
37,Rubidium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 5s1"
38,Strontium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 5s2"
39,Yttrium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d1 ,5s2"
40,Zirconium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d2 ,5s2"
41,Niobium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d4 ,5s1"
42,Molybdenum,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d5 ,5s1"
43,Technetium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d5 ,5s2"
44,Ruthenium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d7 ,5s1"
45,Rhodium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d8 ,5s1"
46,Palladium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10"
47,Silver,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s1"
48,Cadmium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2"
49,Indium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p1"
50,Tin,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p2"
51,Antimony,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p3"
52,Tellurium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p4"
53,Iodine,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p5"
54,Xenon,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6"
55,Cesium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 6s1"
56,Barium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 6s2"
57,Lanthanum,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 5d1 ,6s2"
58,Cerium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f1, 5d1 ,6s2"
59,Praseodymium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f3 ,6s2"
60,Neodymium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f4 ,6s2"
61,Promethium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f5 ,6s2"
62,Samarium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f6 ,6s2"
63,Europium,"1s2, 2s2, 2p6, 3s2, 3p6, 3d10, 4s2, 4p6, 4d10 ,5s2, 5p6, 4f7 ,6s2"
